2015-08-29 00:45:36 - infiSTAR.de AdminLog | 0h 20min | K2LU Moved to WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 00:46:25 - infiSTAR.de AdminLog | 0h 20min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:46:33 - infiSTAR.de AdminLog | 0h 21min | WeskeR (76561198121993182) deleted Lada1_TK_CIV_EP1 @011154 - characterID any - objectID: 0 - objectUID: 4367587627050   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 00:47:08 - infiSTAR.de AdminLog | 0h 21min | GH0ST - added FHQ_ACR_WDL_HAMR_GL_SD_F to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:16 - infiSTAR.de AdminLog | 0h 21min | GH0ST AdminGiveAmmo GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:16 - infiSTAR.de AdminLog | 0h 21min | GH0ST AdminGiveAmmo GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:17 - infiSTAR.de AdminLog | 0h 21min | GH0ST AdminGiveAmmo GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:17 - infiSTAR.de AdminLog | 0h 21min | GH0ST AdminGiveAmmo GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:18 - infiSTAR.de AdminLog | 0h 21min | GH0ST AdminGiveAmmo GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:18 - infiSTAR.de AdminLog | 0h 21min | GH0ST AdminGiveAmmo GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:51 - infiSTAR.de AdminLog | 0h 22min | GH0ST AdminGiveAmmo K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:52 - infiSTAR.de AdminLog | 0h 22min | GH0ST AdminGiveAmmo K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:55 - infiSTAR.de AdminLog | 0h 22min | GH0ST AdminHeal K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:47:56 - infiSTAR.de AdminLog | 0h 22min | GH0ST AdminHeal K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:49:17 - infiSTAR.de AdminLog | 0h 23min | GH0ST Moving to WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:49:23 - infiSTAR.de AdminLog | 0h 23min | WeskeR Spectating K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 00:50:44 - infiSTAR.de AdminLog | 0h 25min | GH0ST Vehboost On   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:50:45 - infiSTAR.de AdminLog | 0h 25min | GH0ST Vehboost Disabled   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:50:46 - infiSTAR.de AdminLog | 0h 25min | GH0ST No Zed Aggro - On   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:50:50 - infiSTAR.de AdminLog | 0h 25min | GH0ST No Zed Aggro - Disabled   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:51:09 - infiSTAR.de AdminLog | 0h 25min | GH0ST AdminHeal K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:51:11 - infiSTAR.de AdminLog | 0h 25min | GH0ST plus 2500 Humanity to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:51:11 - infiSTAR.de AdminLog | 0h 25min | GH0ST plus 2500 Humanity to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:51:12 - infiSTAR.de AdminLog | 0h 25min | GH0ST plus 2500 Humanity to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:51:12 - infiSTAR.de AdminLog | 0h 25min | GH0ST plus 2500 Humanity to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:51:46 - infiSTAR.de AdminLog | 0h 26min | GH0ST AdminSkinChange K2LU to Pastor   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:52:32 - infiSTAR.de AdminLog | 0h 27min | GH0ST AdminSkinChange K2LU to Sheep01_EP1   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:52:35 - infiSTAR.de AdminLog | 0h 27min | GH0ST AdminSkinChange K2LU to WildBoar   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:52:37 - infiSTAR.de AdminLog | 0h 27min | GH0ST AdminSkinChange K2LU to Goat02_EP1   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:52:39 - infiSTAR.de AdminLog | 0h 27min | GH0ST AdminSkinChange K2LU to Cow01   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:53:03 - infiSTAR.de AdminLog | 0h 27min | GH0ST AdminSkinChange K2LU to SurvivorWsequisha_DZ   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:53:05 - infiSTAR.de AdminLog | 0h 27min | GH0ST AdminSkinChange K2LU to SurvivorWpink_DZ   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:53:17 - infiSTAR.de AdminLog | 0h 27min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:55:40 - infiSTAR.de AdminLog | 0h 30min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:56:06 - infiSTAR.de AdminLog | 0h 30min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:56:07 - infiSTAR.de AdminLog | 0h 30min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:56:07 - infiSTAR.de AdminLog | 0h 30min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:56:08 - infiSTAR.de AdminLog | 0h 30min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
